WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
3110,31,10,AUGUST,8,"8,9"
3110,31,10,SEPTEMBER,9,"12,13"
3110,31,10,OCTOBER,10,"17,18"
3111,31,11,APRIL,4,30
3111,31,11,MAY,5,1
3111,31,11,JUNE,6,"4,5"
3111,31,11,JULY,7,"9,10"
3111,31,11,AUGUST,8,"10,13"
3111,31,11,SEPTEMBER,9,"14,17"
3111,31,11,OCTOBER,10,"19,22"
3112,31,12,MAY,5,"2,3"
3112,31,12,JUNE,6,"6,7"
3112,31,12,JULY,7,"11,12"
3112,31,12,AUGUST,8,"14,15"
3112,31,12,SEPTEMBER,9,"18,19"
3112,31,12,OCTOBER,10,"23,24"
3210,32,10,APRIL,4,"16,17"
3210,32,10,MAY,5,"24,25"
3210,32,10,JULY,7,"5,6"
3210,32,10,AUGUST,8,"14,15"
3210,32,10,SEPTEMBER,9,"24,25"
3210,32,10,NOVEMBER,11,"2,5"
3211,32,11,APRIL,4,"18,19"
3211,32,11,MAY,5,"29,30"
3211,32,11,JULY,7,"9,10"
3211,32,11,AUGUST,8,"16,17"
3211,32,11,SEPTEMBER,9,"26,27"
3211,32,11,NOVEMBER,11,"6,7"
3212,32,12,APRIL,4,"20,23"
3212,32,12,MAY,5,31
3212,32,12,JUNE,6,1
3212,32,12,AUGUST,8,"20,21"
3212,32,12,SEPTEMBER,9,28
3212,32,12,OCTOBER,10,1
3212,32,12,NOVEMBER,11,"8,9"
3213,32,13,APRIL,4,"24,25"
3213,32,13,JUNE,6,"4,5"
3213,32,13,JULY,7,"13,16"
3213,32,13,AUGUST,8,"22,23"
3213,32,13,OCTOBER,10,"2,3"
3213,32,13,NOVEMBER,11,"12,13"
3214,32,14,APRIL,4,"26,27"
3214,32,14,JUNE,6,"6,7"
3214,32,14,JULY,7,"17,18"
3214,32,14,AUGUST,8,"24,27"
3214,32,14,OCTOBER,10,"4,5"
3214,32,14,NOVEMBER,11,"14,15"
3310,33,10,MAY,5,"8,9"
3310,33,10,JUNE,6,"18,19"
3310,33,10,JULY,7,"27,30"
3310,33,10,SEPTEMBER,9,"6,7"
3310,33,10,OCTOBER,10,"17,18"
3311,33,11,APRIL,4,"2,3"
3311,33,11,MAY,5,"10,11"
3311,33,11,JUNE,6,"20,21"
3311,33,11,JULY,7,31
3311,33,11,AUGUST,8,1
3311,33,11,SEPTEMBER,9,"10,11"
3311,33,11,OCTOBER,10,"19,22"
3312,33,12,APRIL,4,"4,5"
3312,33,12,MAY,5,"14,15"
3312,33,12,JUNE,6,"22,25"
3312,33,12,AUGUST,8,"2,3"
3312,33,12,SEPTEMBER,9,"12,13"
3312,33,12,OCTOBER,10,"23,24"
3313,33,13,APRIL,4,"6,9"
3313,33,13,MAY,5,"16,17"
3313,33,13,JUNE,6,"26,27"
3313,33,13,AUGUST,8,"6,7"
3313,33,13,SEPTEMBER,9,"14,17"
3313,33,13,OCTOBER,10,"25,26"
3314,33,14,APRIL,4,"10,11"
3314,33,14,MAY,5,"18,21"
3314,33,14,JUNE,6,"28,29"
3314,33,14,AUGUST,8,"8,9"
3314,33,14,SEPTEMBER,9,"18,19"
3314,33,14,OCTOBER,10,"29,30"
3410,34,10,APRIL,4,"26,27"
3410,34,10,JULY,7,"9,10"
3410,34,10,SEPTEMBER,9,"18,19"
3411,34,11,APRIL,4,30
3411,34,11,MAY,5,1
3411,34,11,JULY,7,"11,12"
3411,34,11,SEPTEMBER,9,"20,21"
3412,34,12,MAY,5,"2,3"
3412,34,12,JULY,7,"13,16"
3412,34,12,SEPTEMBER,9,"24,25"
3413,34,13,MAY,5,"4,7"
3413,34,13,JULY,7,"17,18"
3413,34,13,SEPTEMBER,9,"26,27"
3414,34,14,MAY,5,"8,9"
3414,34,14,JULY,7,"19,20"
3414,34,14,SEPTEMBER,9,28
3414,34,14,OCTOBER,10,1
3415,34,15,MAY,5,"10,11"
3415,34,15,JULY,7,"23,24"
3415,34,15,OCTOBER,10,"2,3"
3416,34,16,MAY,5,"14,15"
3416,34,16,AUGUST,8,"25,26"
3416,34,16,OCTOBER,10,"4,5"
3417,34,17,MAY,5,"16,17"
3417,34,17,JULY,7,"27,30"
3417,34,17,OCTOBER,10,"9,10"
3418,34,18,MAY,5,"18,21"
3418,34,18,JULY,7,31
3418,34,18,AUGUST,8,1
3418,34,18,OCTOBER,10,"11,12"
3419,34,19,MAY,5,"22,23"
3419,34,19,AUGUST,8,"2,3"
3419,34,19,OCTOBER,10,"15,16"
3420,34,20,MAY,5,"24,25"
3420,34,20,AUGUST,8,"6,7"
3420,34,20,OCTOBER,10,"17,18"
3421,34,21,MAY,5,"29,30"
3421,34,21,AUGUST,8,"8,9"
3421,34,21,OCTOBER,10,"19,22"
3422,34,22,MAY,5,31
3422,34,22,JUNE,6,1
3422,34,22,AUGUST,8,"10,13"
3422,34,22,OCTOBER,10,"23,24"
3423,34,23,JUNE,6,"4,5"
3423,34,23,AUGUST,8,"14,15"
3423,34,23,OCTOBER,10,"25,26"
3424,34,24,JUNE,6,"6,7"
3424,34,24,AUGUST,8,"16,17"
3424,34,24,OCTOBER,10,"29,30"
3425,34,25,JUNE,6,"8,11"
3425,34,25,AUGUST,8,"20,21"
3425,34,25,OCTOBER,10,31
3425,34,25,NOVEMBER,11,1
3510,35,10,APRIL,4,"26,27"
3510,35,10,MAY,5,"29,30"
3510,35,10,JUNE,6,"28,29"
3510,35,10,JULY,7,31
3510,35,10,AUGUST,8,"1,30,31"
3510,35,10,OCTOBER,10,"2,3"
3510,35,10,NOVEMBER,11,"2,5"
3511,35,11,APRIL,4,30
3511,35,11,MAY,5,"1,31"
3511,35,11,JUNE,6,1
3511,35,11,JULY,7,"2,3"
3511,35,11,AUGUST,8,"2,3"
3511,35,11,SEPTEMBER,9,"4,5"
3511,35,11,OCTOBER,10,"4,5"
3511,35,11,NOVEMBER,11,"6,7"
3610,36,10,APRIL,4,"26,27"
3610,36,10,JUNE,6,"6,7"
3610,36,10,JULY,7,"17,18"
3610,36,10,AUGUST,8,"24,27"
3610,36,10,OCTOBER,10,"4,5"
3610,36,10,NOVEMBER,11,"14,15"
3611,36,11,APRIL,4,30
3611,36,11,MAY,5,1
3611,36,11,JUNE,6,"8,11"
3611,36,11,JULY,7,"19,20"
3611,36,11,AUGUST,8,"28,29"
3611,36,11,OCTOBER,10,"9,10"
3611,36,11,NOVEMBER,11,16
3612,36,12,MAY,5,"2,3"
3612,36,12,JUNE,6,"12,13"
3612,36,12,JULY,7,"23,24"
3612,36,12,AUGUST,8,"30,31"
3612,36,12,OCTOBER,10,"11,12"
3613,36,13,MAY,5,"4,7"
3613,36,13,JUNE,6,"14,15"
3613,36,13,JULY,7,"25,26"
3613,36,13,SEPTEMBER,9,"4,5"
3613,36,13,OCTOBER,10,"15,16"
3614,14,14,MAY,5,"8,9"
3614,14,14,JUNE,6,"18,19"
3614,14,14,JULY,7,"27,30"
3614,14,14,SEPTEMBER,9,"6,7"
3614,14,14,OCTOBER,10,"17,18"
3710,37,10,APRIL,4,30
3710,37,10,MAY,5,1
3710,37,10,JUNE,6,"8,11"
3710,37,10,JULY,7,"19,20"
3710,37,10,AUGUST,8,"28,29"
3710,37,10,OCTOBER,10,"4,5"
3710,37,10,NOVEMBER,11,"14,15"
3711,37,11,APRIL,4,30
3711,37,11,MAY,5,1
3711,37,11,JUNE,6,"8,11"
3711,37,11,JULY,7,"19,20"
3711,37,11,AUGUST,8,"28,29"
3711,37,11,OCTOBER,10,"9,10"
3711,37,11,NOVEMBER,11,16
3712,37,12,MAY,5,"2,3"
3712,37,12,JUNE,6,"12,13"
3712,37,12,JULY,7,"23,24"
3712,37,12,AUGUST,8,"30,31"
3712,37,12,OCTOBER,10,"11,12"
3713,37,13,MAY,5,"4,7"
3713,37,13,JUNE,6,"14,15"
3713,37,13,JULY,7,"25,26"
3713,37,13,SEPTEMBER,9,"4,5"
3713,37,13,OCTOBER,10,"15,16"
3714,37,14,MAY,5,"8,9"
3714,37,14,JUNE,6,"18,19"
3714,37,14,JULY,7,"27,30"
3714,37,14,SEPTEMBER,9,"6,7"
3714,37,14,OCTOBER,10,"17,18"
3810,38,10,APRIL,4,"16,17"
3810,38,10,MAY,5,"24,25"
3810,38,10,JUNE,6,"5,6"
3810,38,10,AUGUST,8,"14,15"
3810,38,10,SEPTEMBER,9,"24,25"
3810,38,10,NOVEMBER,11,"6,7"
3811,38,11,APRIL,4,"16,17"
3811,38,11,MAY,5,"24,25"
3811,38,11,JULY,7,"5,6"
3811,38,11,AUGUST,8,"14,15"
3811,38,11,SEPTEMBER,9,"24,25"
3811,38,11,NOVEMBER,11,"8,9"
3812,38,12,APRIL,4,"18,19"
3812,38,12,MAY,5,"29,30"
3812,38,12,JULY,7,"9,10"
3812,38,12,AUGUST,8,"16,17"
3812,38,12,SEPTEMBER,9,"26,27"
3812,38,12,NOVEMBER,11,"12,13"
3813,38,13,APRIL,4,"18,19"
3813,38,13,MAY,5,"29,30"
3813,38,13,JULY,7,"9,10"
3813,38,13,AUGUST,8,"16,17"
3813,38,13,SEPTEMBER,9,"26,27"
3813,38,13,NOVEMBER,11,"14,15"
3814,38,14,APRIL,4,"20,23"
3814,38,14,MAY,5,31
3814,38,14,JUNE,6,1
3814,38,14,JULY,7,"11,12"
3814,38,14,AUGUST,8,"20,21"
3814,38,14,SEPTEMBER,9,28
3814,38,14,OCTOBER,10,1
3815,38,15,APRIL,4,"20,23"
3815,38,15,MAY,5,31
3815,38,15,JUNE,6,1
3815,38,15,JULY,7,"11,12"
3815,38,15,AUGUST,8,"20,21"
3815,38,15,SEPTEMBER,9,28
3815,38,15,OCTOBER,10,1
3816,38,16,APRIL,4,"24,25"
3816,38,16,JUNE,6,"4,5"
3816,38,16,JULY,7,"13,16"
3816,38,16,AUGUST,8,"22,23"
3816,38,16,OCTOBER,10,"2,3"
3817,38,17,APRIL,4,"24,25"
3817,38,17,JUNE,6,"4,5"
3817,38,17,JULY,7,"13,16"
3817,38,17,AUGUST,8,"22,23"
3817,38,17,OCTOBER,10,"2,3"
3818,38,18,APRIL,4,"26,27"
3818,38,18,JUNE,6,"6,7"
3818,38,18,JULY,7,"17,18"
3818,38,18,AUGUST,8,"24,27"
3818,38,18,OCTOBER,10,"4,5"
3819,38,19,APRIL,4,30
3819,38,19,MAY,5,1
3819,38,19,JUNE,6,"8,11"
3819,38,19,JULY,7,"19,20"
3819,38,19,AUGUST,8,"28,29"
3819,38,19,OCTOBER,10,"9,10"
3820,38,20,APRIL,4,30
3820,38,20,MAY,5,1
3820,38,20,JUNE,6,"8,11"
3820,38,20,JULY,7,"19,20"
3820,38,20,AUGUST,8,"28,29"
3820,38,20,OCTOBER,10,"9,10"
3821,38,21,MAY,5,"2,3"
3821,38,21,JUNE,6,"12,13"
3821,38,21,JULY,7,"23,24"
3821,38,21,AUGUST,8,"30,31"
3821,38,21,OCTOBER,10,"11,12"
3822,38,22,MAY,5,"2,3"
3822,38,22,JUNE,6,"12,13"
3822,38,22,JULY,7,"23,24"
3822,38,22,AUGUST,8,"30,31"
3822,38,22,OCTOBER,10,"11,12"
3823,38,23,MAY,5,"4,7"
3823,38,23,JUNE,6,"14,15"
3823,38,23,JULY,7,"25,26"
3823,38,23,SEPTEMBER,9,"4,5"
3823,38,23,OCTOBER,10,"15,16"
3824,38,24,MAY,5,"4,7"
3824,38,24,JUNE,6,"14,15"
3824,38,24,JULY,7,"25,26"
3824,38,24,SEPTEMBER,9,"4,5"
3824,38,24,OCTOBER,10,"15,16"
3825,38,25,MAY,5,"8,9"
3825,38,25,JUNE,6,"18,19"
3825,38,25,JULY,7,"27,30"
3825,38,25,SEPTEMBER,9,"6,7"
3825,38,25,OCTOBER,10,"17,18"
3910,39,10,APRIL,4,"26,27"
3910,39,10,JUNE,6,"12,13"
3910,39,10,JULY,7,"27,30"
3910,39,10,SEPTEMBER,9,"12,13"
3910,39,10,OCTOBER,10,"29,30"
3911,39,11,APRIL,4,30
3911,39,11,MAY,5,1
3911,39,11,JUNE,6,"14,15"
3911,39,11,JULY,7,31
3911,39,11,SEPTEMBER,9,"14,17"
3911,39,11,OCTOBER,10,31
3911,39,11,NOVEMBER,11,1
3912,39,12,MAY,5,"2,3"
3912,39,12,JUNE,6,"18,19"
3912,39,12,AUGUST,8,"2,3"
3912,39,12,SEPTEMBER,9,"18,19"
3912,39,12,NOVEMBER,11,"2,5"
3913,39,13,MAY,5,"4,7"
3913,39,13,JUNE,6,"20,21"
3913,39,13,AUGUST,8,"6,7"
3913,39,13,SEPTEMBER,9,"20,21"
3913,39,13,NOVEMBER,11,"6,7"
3914,39,14,MAY,5,"8,9"
3914,39,14,JUNE,6,"22,25"
3914,39,14,AUGUST,8,"8,9"
3914,39,14,SEPTEMBER,9,"24,25"
3914,39,14,NOVEMBER,11,"8,9"
3915,39,15,MAY,5,"10,11"
3915,39,15,JUNE,6,"26,27"
3915,39,15,AUGUST,8,"10,13"
3915,39,15,SEPTEMBER,9,"26,27"
3915,39,15,NOVEMBER,11,"12,13"
3916,39,16,MAY,5,"14,15"
3916,39,16,JUNE,6,"28,29"
3916,39,16,AUGUST,8,"14,15"
3916,39,16,SEPTEMBER,9,28
3916,39,16,OCTOBER,10,1
3916,39,16,NOVEMBER,11,"14,15"
4010,40,10,APRIL,4,"26,27"
4010,40,10,JUNE,6,"18,19"
4010,40,10,AUGUST,8,"8,9"
4010,40,10,SEPTEMBER,9,28
4010,40,10,OCTOBER,10,1
4011,40,11,APRIL,4,30
4011,40,11,MAY,5,1
4011,40,11,JUNE,6,"20,21"
4011,40,11,AUGUST,8,"10,13"
4011,40,11,OCTOBER,10,"2,3"
4012,40,12,MAY,5,"2,3"
4012,40,12,JUNE,6,"22,25"
4012,40,12,AUGUST,8,"14,15"
4012,40,12,OCTOBER,10,"4,5"
4013,40,13,MAY,5,"4,7"
4013,40,13,JUNE,6,"26,27"
4013,40,13,AUGUST,8,"16,17"
4013,40,13,OCTOBER,10,"9,10"
4014,40,14,MAY,5,"8,9"
4014,40,14,JUNE,6,"28,29"
4014,40,14,AUGUST,8,"20,21"
4014,40,14,OCTOBER,10,"11,12"
4015,40,15,MAY,5,"10,11"
4015,40,15,JULY,7,"2,3"
4015,40,15,AUGUST,8,"22,23"
4015,40,15,OCTOBER,10,"15,16"
4016,40,16,MAY,5,"14,15"
4016,40,16,JULY,7,"5,6"
4016,40,16,AUGUST,8,"24,27"
4016,40,16,OCTOBER,10,"17,18"
4017,40,17,MAY,5,"16,17"
4017,40,17,JULY,7,"9,10"
4017,40,17,AUGUST,8,"28,29"
4017,40,17,OCTOBER,10,"19,22"
4018,40,18,MAY,5,"18,21"
4018,40,18,JULY,7,"11,12"
4018,40,18,AUGUST,8,"30,31"
4018,40,18,SEPTEMBER,9,1
4018,40,18,OCTOBER,10,"23,24"
4110,41,10,MAY,5,"14,15"
4110,41,10,JUNE,6,"28,29"
4110,41,10,AUGUST,8,"15,16"
4110,41,10,SEPTEMBER,9,28
4110,41,10,OCTOBER,10,1
4111,41,11,APRIL,4,"2,3"
4111,41,11,MAY,5,"16,17"
4111,41,11,JULY,7,"3,5"
4111,41,11,AUGUST,8,"17,20"
4111,41,11,OCTOBER,10,"2,3"
4112,41,12,APRIL,4,"2,3"
4112,41,12,MAY,5,"16,17"
4112,41,12,JULY,7,"3,5"
4112,41,12,AUGUST,8,"17,20"
4112,41,12,OCTOBER,10,"4,5"
4113,41,13,APRIL,4,"4,5"
4113,41,13,JUNE,6,"18,21"
4113,41,13,JULY,7,"6,9"
4113,41,13,AUGUST,8,"21,22"
4113,41,13,OCTOBER,10,"9,10"
4114,41,14,APRIL,4,"4,5"
4114,41,14,MAY,5,"18,21"
4114,41,14,JULY,7,"6,9"
4114,41,14,AUGUST,8,"21,22"
4114,41,14,OCTOBER,10,"11,12"
4115,41,15,APRIL,4,"6,9"
4115,41,15,MAY,5,"22,23"
4115,41,15,JULY,7,"10,11"
4115,41,15,AUGUST,8,"23,24"
4115,41,15,OCTOBER,10,"15,16"
4116,41,16,APRIL,4,"6,9"
4116,41,16,MAY,5,"22,23"
4116,41,16,JUNE,6,"10,11"
4116,41,16,JULY,7,"23,24"
4116,41,16,OCTOBER,10,"17,18"
4117,41,17,APRIL,4,"10,11"
4117,41,17,MAY,5,"24,25"
4117,41,17,JULY,7,"12,13"
4117,41,17,AUGUST,8,"27,28"
4117,41,17,OCTOBER,10,"19,22"
4118,41,18,APRIL,4,"10,11"
4118,41,18,MAY,5,"24,25"
4118,41,18,JULY,7,"12,13"
4118,41,18,AUGUST,8,"27,28"
4118,41,18,OCTOBER,10,"23,24"
4119,41,19,APRIL,4,"12,13"
4119,41,19,MAY,5,"29,30"
4119,41,19,JULY,7,"16,17"
4119,41,19,AUGUST,8,"29,30"
4119,41,19,OCTOBER,10,"25,26"
4120,41,20,APRIL,4,"12,13"
4120,41,20,MAY,5,"29,30"
4120,41,20,JULY,7,"16,17"
4120,41,20,AUGUST,8,"29,30"
4120,41,20,OCTOBER,10,"29,30"
4121,41,21,APRIL,4,"16,17"
4121,41,21,MAY,5,31
4121,41,21,JUNE,6,1
4121,41,21,JULY,7,"18,19"
4121,41,21,AUGUST,8,31
4121,41,21,SEPTEMBER,9,1
4121,41,21,OCTOBER,10,31
4121,41,21,NOVEMBER,11,1
4122,41,22,APRIL,4,"16,17"
4122,41,22,MAY,5,31
4122,41,22,JUNE,6,1
4122,41,22,JULY,7,"18,19"
4122,41,22,AUGUST,8,31
4122,41,22,SEPTEMBER,9,1
4122,41,22,NOVEMBER,11,"2,5"
4123,41,23,APRIL,4,"18,19"
4123,41,23,JUNE,6,"4,5"
4123,41,23,JULY,7,"20,23"
4123,41,23,SEPTEMBER,9,"4,5"
4123,41,23,NOVEMBER,11,"6,7"
4124,41,24,APRIL,4,"18,19"
4124,41,24,JUNE,6,"4,5"
4124,41,24,JULY,7,"20,23"
4124,41,24,SEPTEMBER,9,"4,5"
4124,41,24,NOVEMBER,11,"8,9"
4125,41,25,APRIL,4,"20,23"
4125,41,25,JUNE,6,"6,7"
4125,41,25,JULY,7,"24,25"
4125,41,25,SEPTEMBER,9,"6,7"
4125,41,25,NOVEMBER,11,"12,13"
4126,41,26,APRIL,4,"20,23"
4126,41,26,JUNE,6,"6,7"
4126,41,26,JULY,7,"24,25"
4126,41,26,SEPTEMBER,9,"6,7"
4126,41,26,NOVEMBER,11,"14,15"
4127,41,27,APRIL,4,"24,25"
4127,41,27,JUNE,6,"8,11"
4127,41,27,JULY,7,"26,27"
4127,41,27,SEPTEMBER,9,"10,11"
4128,41,28,APRIL,4,"24,25"
4128,41,28,JUNE,6,"8,11"
4128,41,28,JULY,7,"26,27"
4128,41,28,SEPTEMBER,9,"10,11"
4129,41,29,APRIL,4,"26,27"
4129,41,29,JUNE,6,"12,13"
4129,41,29,JULY,7,"30,31"
4129,41,29,SEPTEMBER,9,"12,13"
4130,41,30,APRIL,4,"26,27"
4130,41,30,JUNE,6,"12,13"
4130,41,30,JULY,7,"30,31"
4130,41,30,SEPTEMBER,9,"12,13"
4131,41,31,APRIL,4,30
4131,41,31,MAY,5,1
4131,41,31,JUNE,6,"14,15"
4131,41,31,AUGUST,8,"1,2"
4131,41,31,SEPTEMBER,9,"14,17"
4132,41,32,APRIL,4,30
4132,41,32,MAY,5,1
4132,41,32,JUNE,6,"14,15"
4132,41,32,AUGUST,8,"1,2"
4132,41,32,SEPTEMBER,9,"14,17"
4412,44,12,OCTOBER,10,"12,15"
4410,44,10,APRIL,4,"5,6"
4410,44,10,MAY,5,"3,4"
4410,44,10,JUNE,6,"1,7"
4410,44,10,JULY,7,"5,6"
4410,44,10,AUGUST,8,"2,3"
4410,44,10,SEPTEMBER,9,"6,7"
4410,44,10,OCTOBER,10,"4,5"
4410,44,10,NOVEMBER,11,"1,2"
4411,44,11,APRIL,4,"3,4"
4411,44,11,MAY,5,"1,2"
4411,44,11,JUNE,6,"5,6"
4411,44,11,JULY,7,3
4411,44,11,AUGUST,8,"1,7"
4411,44,11,SEPTEMBER,9,"4,5"
4411,44,11,OCTOBER,10,"2,3"
4411,44,11,NOVEMBER,11,"6,7"
4412,44,12,MAY,5,"10,11"
4412,44,12,JUNE,6,"18,19"
4412,44,12,JULY,7,"30,31"
4412,44,12,AUGUST,8,"29,30"
4412,44,12,SEPTEMBER,9,"12,17"
4412,44,12,NOVEMBER,11,"26,27"
4510,45,10,APRIL,4,"26,27"
4510,45,10,JUNE,6,"28,29"
4510,45,10,AUGUST,8,"30,31"
4510,45,10,NOVEMBER,11,"2,5"
4511,45,11,APRIL,4,30
4511,45,11,MAY,5,1
4511,45,11,JULY,7,"2,3"
4511,45,11,SEPTEMBER,9,"4,5"
4511,45,11,NOVEMBER,11,"6,7"
4512,45,12,MAY,5,"2,3"
4512,45,12,JULY,7,"5,6"
4512,45,12,SEPTEMBER,9,"6,7"
4512,45,12,NOVEMBER,11,"8,9"
4513,45,13,MAY,5,"4,7"
4513,45,13,JULY,7,"9,10"
4513,45,13,SEPTEMBER,9,"10,11"
4513,45,13,NOVEMBER,11,"12,13"
4514,45,14,MAY,5,"8,9"
4514,45,14,JULY,7,"11,12"
4514,45,14,SEPTEMBER,9,"12,13"
4514,45,14,NOVEMBER,11,"14,15"
4515,45,15,MAY,5,"10,11"
4515,45,15,JULY,7,"13,16"
4515,45,15,SEPTEMBER,9,"14,17"
4515,45,15,NOVEMBER,11,"15,16"
4516,45,16,MAY,5,"14,15"
4516,45,16,JULY,7,"17,18"
4516,45,16,SEPTEMBER,9,"18,19"
4517,45,17,MAY,5,"16,17"
4517,45,17,JULY,7,"19,20"
4517,45,17,SEPTEMBER,9,"20,21"
4518,45,18,MAY,5,"18,21"
4518,45,18,JULY,7,"23,24"
4518,45,18,SEPTEMBER,9,"24,25"
4519,45,19,MAY,5,"22,23"
4519,45,19,JULY,7,"25,26"
4519,45,19,SEPTEMBER,9,"26,27"
4520,45,20,MAY,5,"24,25"
4520,45,20,JULY,7,"27,30"
4520,45,20,SEPTEMBER,9,28
4520,45,20,OCTOBER,10,1
4521,45,21,MAY,5,"30,31"
4521,45,21,JULY,7,31
4521,45,21,AUGUST,8,1
4521,45,21,OCTOBER,10,"2,3"
4522,45,22,MAY,5,31
4522,45,22,JUNE,6,1
4522,45,22,AUGUST,8,"2,3"
4522,45,22,OCTOBER,10,"4,5"
4710,47,10,MAY,5,"8,9"
4710,47,10,JUNE,6,"28,29"
4710,47,10,AUGUST,8,"20,21"
4710,47,10,OCTOBER,10,"12,15"
4711,47,11,MAY,5,"10,11"
4711,47,11,JULY,7,"2,3"
4711,47,11,AUGUST,8,"22,23"
4711,47,11,OCTOBER,10,"16,17"
4712,47,12,MAY,5,"14,15"
4712,47,12,JULY,7,"5,6"
4712,47,12,AUGUST,8,"24,27"
4712,47,12,OCTOBER,10,"18,19"
4713,47,13,MAY,5,"16,17"
4713,47,13,JULY,7,"9,10"
4713,47,13,AUGUST,8,"28,29"
4713,47,13,OCTOBER,10,"22,23"
4714,47,14,MAY,5,"18,21"
4714,47,14,JULY,7,"11,12"
4714,47,14,AUGUST,8,"30,31"
4714,47,14,OCTOBER,10,"24,25"
4715,47,15,APRIL,4,"2,3"
4715,47,15,MAY,5,"22,23"
4715,47,15,JULY,7,"13,16"
4715,47,15,SEPTEMBER,9,"4,5"
4715,47,15,OCTOBER,10,"26,29"
4716,47,16,APRIL,4,"4,5"
4716,47,16,MAY,5,"24,25"
4716,47,16,JULY,7,"17,18"
4716,47,16,SEPTEMBER,9,"6,7"
4716,47,16,OCTOBER,10,"30,31"
4717,47,17,APRIL,4,"6,9"
4717,47,17,MAY,5,"29,30"
4717,47,17,JULY,7,"19,20"
4717,47,17,SEPTEMBER,9,"10,11"
4717,47,17,NOVEMBER,11,"1,2"
4718,47,18,APRIL,4,"10,11"
4718,47,18,MAY,5,31
4718,47,18,JUNE,6,1
4718,47,18,JULY,7,"23,24"
4718,47,18,SEPTEMBER,9,"12,13"
4718,47,18,NOVEMBER,11,"5,6"
4810,48,10,APRIL,4,"26,27"
4810,48,10,MAY,5,"24,25"
4810,48,10,JUNE,6,"22,25"
4810,48,10,JULY,7,"23,24"
4810,48,10,AUGUST,8,"20,21"
4810,48,10,SEPTEMBER,9,"18,19"
4810,48,10,OCTOBER,10,"17,18"
4810,48,10,NOVEMBER,11,"14,15"
4910,49,10,APRIL,4,30
4910,49,10,MAY,5,1
4910,49,10,JUNE,6,"4,5"
4910,49,10,JULY,7,"9,10"
4910,49,10,AUGUST,8,"10,13"
4910,49,10,SEPTEMBER,9,"14,17"
4910,49,10,OCTOBER,10,"19,22"
4911,49,11,MAY,5,"2,3"
4911,49,11,JUNE,6,"6,7"
4911,49,11,JULY,7,"11,12"
4911,49,11,AUGUST,8,"14,15"
4911,49,11,SEPTEMBER,9,"18,19"
4911,49,11,OCTOBER,10,"23,24"
4912,49,12,APRIL,4,"2,3"
4912,49,12,MAY,5,"4,7"
4912,49,12,JUNE,6,"8,11"
4912,49,12,JULY,7,"13,16"
4912,49,12,AUGUST,8,"16,17"
4912,49,12,SEPTEMBER,9,"20,21"
4912,49,12,OCTOBER,10,"25,26"
5010,50,10,APRIL,4,"26,27"
5010,50,10,JUNE,6,"6,7"
5010,50,10,JULY,7,"17,18"
5010,50,10,AUGUST,8,"24,27"
5010,50,10,SEPTEMBER,9,"24,25"
5010,50,10,NOVEMBER,11,"16,19"
5011,50,11,APRIL,4,30
5011,50,11,MAY,5,1
5011,50,11,JUNE,6,"8,11"
5011,50,11,JULY,7,"19,20"
5011,50,11,AUGUST,8,"28,29"
5011,50,11,SEPTEMBER,9,28
5011,50,11,OCTOBER,10,1
5012,50,12,MAY,5,"2,3"
5012,50,12,JUNE,6,"12,13"
5012,50,12,JULY,7,"23,24"
5012,50,12,AUGUST,8,"30,31"
5012,50,12,OCTOBER,10,"15,16"
5013,50,13,MAY,5,"4,7"
5013,50,13,JUNE,6,"14,15"
5013,50,13,JULY,7,"25,26"
5013,50,13,SEPTEMBER,9,"4,5"
5013,50,13,OCTOBER,10,"17,18"
5014,50,14,MAY,5,"8,9"
5014,50,14,JUNE,6,"18,19"
5014,50,14,JULY,7,"27,30"
5014,50,14,SEPTEMBER,9,"6,7"
5014,50,14,OCTOBER,10,"19,22"
5015,50,15,APRIL,4,"6,9"
5015,50,15,MAY,5,"10,11"
5015,50,15,JUNE,6,"14,15"
5015,50,15,JULY,7,"19,20"
5015,50,15,AUGUST,8,"22,23"
5015,50,15,SEPTEMBER,9,"26,27"
5015,50,15,OCTOBER,10,31
5015,50,15,NOVEMBER,11,1
1602,16,2,JUNE,6,"18,19"
4505,45,5,APRIL,4,"12,13"
4008,40,8,SEPTEMBER,9,"24,25"
4203,42,3,MAY,5,"15,16"
3907,39,7,JUNE,6,"4,5"
3109,31,9,APRIL,4,"24,25"
4603,46,3,APRIL,4,"6,9"
1602,16,2,MAY,5,"10,11"
1406,14,6,MAY,5,31
1403,14,3,JULY,7,"9,10"
4901,49,1,JULY,7,"17,18"
1808,18,8,JUNE,6,"8,11"
4407,44,7,AUGUST,8,"8,14"
4602,46,2,NOVEMBER,11,"1,2"
3304,33,4,AUGUST,8,"20,21"
4103,41,3,AUGUST,8,"7,8"
1604,16,4,AUGUST,8,1
3506,35,6,APRIL,4,"16,17"
2503,25,3,SEPTEMBER,9,"7,10"
3101,31,1,AUGUST,8,"16,17"
2401,24,1,JUNE,6,"4,5"
1708,17,8,AUGUST,8,"14,15"
1101,11,1,AUGUST,8,"16,17"
2504,25,4,JUNE,6,"12,13"
4406,44,6,JULY,7,"20,23"
3401,34,1,AUGUST,8,"22,23"
2609,26,9,OCTOBER,10,"16,17"
